
        alt         XM         FN        SFC         WF

        alt         XM         FN        SFC         WF
     3333.3    0.31667     58.427         13    0.75957
       3750    0.31667     56.204     12.996    0.73046
     4166.7    0.31667      54.01     12.999    0.70205
     4583.3    0.31667     51.841     13.008    0.67434
       5000    0.31667     49.701     13.024    0.64732
     5416.7    0.31667     47.597     13.047      0.621
     5833.3    0.31667     45.533     13.076    0.59537
       6250    0.31667     43.513      13.11    0.57044
     6666.7    0.31667      41.54     13.148    0.54619
     7083.3    0.31667     39.617     13.194     0.5227
       7500    0.31667     37.746     13.244    0.49989
     7916.7    0.31667     35.927     13.298    0.47775
     8333.3    0.31667     34.163     13.356    0.45627
       8750    0.31667     32.453     13.417    0.43544
     9166.7    0.31667       30.8     13.482    0.41526
     9583.3    0.31667     29.204     13.551    0.39573
      10000    0.31667     27.664     13.622    0.37683
      10417    0.31667     26.179     13.696    0.35856
      10833    0.31667     24.751     13.773     0.3409
      11250    0.31667     23.258     13.806    0.32111
      11667    0.31667     21.775     13.809    0.30069
      12083    0.31667     20.387     13.812    0.28158
      12500    0.31667     19.087     13.815    0.26368
      12917    0.31667     17.869     13.818    0.24692
      13333    0.31667     16.729     13.821    0.23122
      13750    0.31667     15.662     13.825    0.21652
      14167    0.31667     14.662     13.829    0.20276
      14583    0.31667     13.726     13.833    0.18988
      15000    0.31667     12.849     13.838    0.17781
      15417    0.31667     12.029     13.843    0.16651
      15833    0.31667      11.26     13.848    0.15593
      16250    0.31667      10.54     13.854    0.14602
      16667    0.31667     9.8663      13.86    0.13674
      17083    0.31667     9.2351     13.866    0.12805
      17500    0.31667     8.6441     13.872    0.11991
      17917    0.31667     8.0907     13.879    0.11229
      18333    0.31667     7.5724     13.887    0.10516
      18750    0.31667     7.0871     13.895   0.098475
      19167    0.31667     6.6326     13.904   0.092217
      19583    0.31667     6.2071     13.913   0.086357
      20000    0.31667     5.8085     13.922   0.080869
          0    0.33125     73.395     13.811     1.0136
     416.67    0.33125     72.178     13.581    0.98023
     833.33    0.33125     70.558      13.43    0.94759
       1250    0.33125     68.701     13.329     0.9157
     1666.7    0.33125     66.696     13.262    0.88455
     2083.3    0.33125     64.598     13.223    0.85415
       2500    0.33125     62.434     13.181    0.82294
     2916.7    0.33125     60.241     13.153    0.79235
     3333.3    0.33125      58.04     13.137    0.76246
       3750    0.33125     55.844     13.131    0.73327
     4166.7    0.33125     53.677      13.13    0.70478
     4583.3    0.33125     51.532     13.137    0.67698
       5000    0.33125     49.415     13.151    0.64988
     5416.7    0.33125     47.333     13.172    0.62348
     5833.3    0.33125     45.288     13.199    0.59777
       6250    0.33125     43.286     13.232    0.57275
     6666.7    0.33125      41.33     13.269    0.54842
     7083.3    0.33125     39.423     13.313    0.52483
       7500    0.33125     37.566     13.362    0.50195
     7916.7    0.33125     35.761     13.415    0.47973
     8333.3    0.33125     34.009     13.472    0.45817
       8750    0.33125     32.311     13.533    0.43727
     9166.7    0.33125     30.669     13.597    0.41702
     9583.3    0.33125     29.083     13.665    0.39742
      10000    0.33125     27.552     13.736    0.37845
      10417    0.33125     26.076      13.81     0.3601
      10833    0.33125     24.655     13.887    0.34238
      11250    0.33125     23.169      13.92     0.3225
      11667    0.33125     21.692     13.922      0.302
      12083    0.33125     20.309     13.925     0.2828
      12500    0.33125     19.014     13.928    0.26482
      12917    0.33125     17.801     13.931    0.24799
      13333    0.33125     16.665     13.935    0.23222
      13750    0.33125     15.602     13.938    0.21746
      14167    0.33125     14.606     13.942    0.20364
      14583    0.33125     13.673     13.947     0.1907
      15000    0.33125       12.8     13.951    0.17858
      15417    0.33125     11.982     13.956    0.16723
      15833    0.33125     11.217     13.962    0.15661
      16250    0.33125       10.5     13.967    0.14665
      16667    0.33125     9.8284     13.973    0.13733
      17083    0.33125     9.1996      13.98    0.12861
      17500    0.33125     8.6109     13.986    0.12043
      17917    0.33125     8.0595     13.993    0.11278
      18333    0.33125     7.5433     14.001    0.10561
      18750    0.33125     7.0598     14.009   0.098902
      19167    0.33125     6.6071     14.018   0.092616
      19583    0.33125     6.1831     14.027   0.086731
      20000    0.33125     5.7861     14.037   0.081219
          0    0.34583     72.593     14.012     1.0171
     416.67    0.34583     71.475     13.762    0.98363
     833.33    0.34583     69.928     13.598    0.95088
       1250    0.34583      68.13     13.487    0.91889
     1666.7    0.34583     66.175     13.414    0.88764
     2083.3    0.34583     64.119     13.368    0.85714
       2500    0.34583     61.996     13.326    0.82614
     2916.7    0.34583     59.838     13.294    0.79547
     3333.3    0.34583     57.667     13.274    0.76549
       3750    0.34583     55.499     13.265    0.73621
     4166.7    0.34583     53.358     13.262    0.70763
     4583.3    0.34583     51.237     13.267    0.67974
       5000    0.34583     49.143     13.279    0.65256
     5416.7    0.34583     47.081     13.298    0.62607
     5833.3    0.34583     45.056     13.323    0.60027
       6250    0.34583     43.072     13.354    0.57516
     6666.7    0.34583     41.132      13.39    0.55075
     7083.3    0.34583      39.24     13.432    0.52706
       7500    0.34583     37.397      13.48     0.5041
     7916.7    0.34583     35.605     13.532     0.4818
     8333.3    0.34583     33.865     13.588    0.46016
       8750    0.34583     32.179     13.648    0.43918
     9166.7    0.34583     30.547     13.712    0.41885
     9583.3    0.34583      28.97     13.779    0.39918
      10000    0.34583     27.448     13.849    0.38013
      10417    0.34583     25.981     13.923    0.36172
      10833    0.34583     24.568     13.999    0.34392
      11250    0.34583     23.087     14.032    0.32396
      11667    0.34583     21.615     14.035    0.30336
      12083    0.34583     20.237     14.038    0.28408
      12500    0.34583     18.947     14.041    0.26602
      12917    0.34583     17.738     14.044    0.24911
      13333    0.34583     16.606     14.047    0.23327
      13750    0.34583     15.547     14.051    0.21845
      14167    0.34583     14.554     14.055    0.20456
      14583    0.34583     13.625     14.059    0.19156
      15000    0.34583     12.755     14.064    0.17939
